"image","patch","method","m","sigma2","lambda","converged","resid"
1,1,"naive",NA,0.000153818125098126,1.18410141784943,1,8.25418130010239e-06
1,1,"corrected",10,0.00014097910911323,1.41492282136411,1,9.95389405030645e-06
1,1,"corrected",12,0.000133583443889926,1.53659067640155,1,1.04159817413827e-05
1,1,"corrected",15,6.69572875944348e-05,3.43027504974082,1,1.06460980689322e-05
1,1,"corrected",18,5.31402002825909e-05,4.7593313849045,1,1.06738585807933e-05
1,2,"naive",NA,0.00016650642621859,1.17172060982941,1,7.93813946399259e-06
1,2,"corrected",10,0.000150971764563053,1.40463235089957,1,9.15373597606552e-06
1,2,"corrected",12,0.000144025343536669,1.50521167325086,1,9.4319735223908e-06
1,2,"corrected",15,0.00012413898414699,1.82253374317645,1,9.78721418424002e-06
1,2,"corrected",18,8.50089764627464e-05,2.88398517386128,1,9.97951137283573e-06
1,3,"naive",NA,0.000104820840613751,2.04521363315516,1,8.46919859822157e-06
1,3,"corrected",10,6.84744500316453e-05,3.73564593051084,1,9.18104721096411e-06
1,3,"corrected",12,6.2329180459219e-05,4.44445515556929,1,9.34696631625574e-06
1,3,"corrected",15,5.61571756090262e-05,5.77893718440796,1,9.56439741212692e-06
1,3,"corrected",18,5.39676962440069e-05,6.79100262575476,1,9.67227681100325e-06
1,4,"naive",NA,0.000117717729278689,1.89829061804502,1,9.64450131718942e-06
1,4,"corrected",10,6.87502603867671e-05,3.93520128416597,1,1.01563545798867e-05
1,4,"corrected",12,6.48858609359258e-05,4.38771421575046,1,1.02356992489578e-05
1,4,"corrected",15,6.08811687465121e-05,5.07523256017974,1,1.03368403069891e-05
1,4,"corrected",18,5.80491468766416e-05,5.87755334075883,1,1.04299774490499e-05
1,5,"naive",NA,0.000152191550555053,1.44268648018538,1,6.76287321574462e-06
1,5,"corrected",10,0.000130588111033333,1.83674738304535,1,7.73538430219188e-06
1,5,"corrected",12,0.000130518070581523,1.83831458753599,1,7.73815567493729e-06
1,5,"corrected",15,0.000139397416562902,1.66826737198032,1,7.40406153948656e-06
1,5,"corrected",18,0.000153275784158729,1.42520493202417,1,6.68654589079088e-06
1,6,"naive",NA,0.000174290889750722,0.949536925425813,1,7.90993447455902e-06
1,6,"corrected",10,0.000172123535755088,1.01065614641389,1,8.63824814978238e-06
1,6,"corrected",12,0.000171385104878218,1.02691553601569,1,8.845162038388e-06
1,6,"corrected",15,0.000169833271427959,1.05811734642588,1,9.22861389714365e-06
1,6,"corrected",18,0.000168860407272231,1.07609767855869,1,9.44327891376288e-06
1,7,"naive",NA,0.000194120222502111,0.801636873957669,1,6.33037492153487e-06
1,7,"corrected",10,0.000194387652093499,0.813445066681011,1,6.3648613757657e-06
1,7,"corrected",12,0.000194440965835794,0.816665427017582,1,6.38712584197895e-06
1,7,"corrected",15,0.000194532305806514,0.822526793762857,1,6.43623469249178e-06
1,7,"corrected",18,0.000194452035113018,0.817489290646325,1,6.39302190821052e-06
1,8,"naive",NA,0.000177600808539746,0.937931304106061,1,7.19552353705612e-06
